usage_kwh,is_scheduled_occupied,is_scheduled_workday,max_temp_f,max_temp_c,humidity
6.296875,True,Working,28.0,-2.0,62.0
11.59375,True,Working,28.0,-2.0,62.0
6.046875,True,Working,28.0,-2.0,62.0
11.265625,True,Working,30.0,-1.0,62.0
5.734375,True,Working,30.0,-1.0,62.0
11.109375,True,Working,30.0,-1.0,62.0
5.53125,True,Working,30.0,-1.0,62.0
10.921875,True,Working,31.0,-1.0,62.0
5.78125,True,Working,31.0,-1.0,62.0
11.78125,True,Working,31.0,-1.0,62.0
6.15625,True,Working,31.0,-1.0,62.0
11.21875,True,Working,31.0,-1.0,57.0
6.0625,True,Working,31.0,-1.0,57.0
11.71875,True,Working,31.0,-1.0,57.0
6.25,True,Working,31.0,-1.0,57.0
13.65625,True,Working,29.0,-2.0,62.0
7.03125,True,Working,29.0,-2.0,62.0
14.1875,True,Working,29.0,-2.0,62.0
7.21875,True,Working,29.0,-2.0,62.0
14.03125,True,Working,27.0,-3.0,67.0
6.828125,True,Working,27.0,-3.0,67.0
13.078125,True,Working,27.0,-3.0,67.0
7.0,True,Working,27.0,-3.0,67.0
12.984375,True,Working,26.0,-4.0,73.0
6.75,True,Working,26.0,-4.0,73.0
13.0625,True,Working,26.0,-4.0,73.0
6.703125,True,Working,26.0,-4.0,73.0
8.6875,False,Working,24.0,-4.0,79.0
3.546875,False,Working,24.0,-4.0,79.0
6.015625,False,Working,24.0,-4.0,79.0
3.078125,False,Working,24.0,-4.0,79.0
6.296875,False,Working,24.0,-5.0,79.0
3.203125,False,Working,24.0,-5.0,79.0
6.0,False,Working,24.0,-5.0,79.0
3.34375,False,Working,24.0,-5.0,79.0
6.140625,False,Working,23.0,-5.0,73.0
3.171875,False,Working,23.0,-5.0,73.0
6.203125,False,Working,23.0,-5.0,73.0
3.328125,False,Working,23.0,-5.0,73.0
6.046875,False,Working,22.0,-5.0,79.0
3.359375,False,Working,22.0,-5.0,79.0
6.125,False,Working,22.0,-5.0,79.0
3.1875,False,Working,22.0,-5.0,79.0
6.203125,False,Working,22.0,-6.0,73.0
3.3125,False,Working,22.0,-6.0,73.0
6.140625,False,Working,22.0,-6.0,73.0
3.390625,False,Working,22.0,-6.0,73.0
6.15625,False,Working,21.0,-6.0,73.0
3.1875,False,Working,21.0,-6.0,73.0
6.265625,False,Working,21.0,-6.0,73.0
3.546875,False,Working,21.0,-6.0,73.0
6.140625,False,Working,20.0,-6.0,79.0
3.203125,False,Working,20.0,-6.0,79.0
6.265625,False,Working,20.0,-6.0,79.0
3.40625,False,Working,20.0,-6.0,79.0
6.21875,False,Working,20.0,-7.0,73.0
3.46875,False,Working,20.0,-7.0,73.0
6.28125,False,Working,20.0,-7.0,73.0
3.421875,False,Working,20.0,-7.0,73.0
6.515625,False,Working,19.0,-7.0,73.0
3.625,False,Working,19.0,-7.0,73.0
6.296875,False,Working,19.0,-7.0,73.0
3.515625,False,Working,19.0,-7.0,73.0
6.5625,False,Working,18.0,-8.0,73.0
3.375,False,Working,18.0,-8.0,73.0
6.609375,False,Working,18.0,-8.0,73.0
3.734375,False,Working,18.0,-8.0,73.0
6.25,False,Working,18.0,-8.0,79.0
3.5625,False,Working,18.0,-8.0,79.0
6.609375,False,Working,18.0,-8.0,79.0
3.3125,False,Working,18.0,-8.0,79.0
10.421875,False,Working,17.0,-8.0,73.0
6.6875,False,Working,17.0,-8.0,73.0
12.796875,False,Working,17.0,-8.0,73.0
6.5625,False,Working,17.0,-8.0,73.0
13.078125,False,Working,16.0,-9.0,79.0
7.15625,False,Working,16.0,-9.0,79.0
13.78125,False,Working,16.0,-9.0,79.0
6.890625,False,Working,16.0,-9.0,79.0
11.984375,False,Working,16.0,-9.0,72.0
6.3125,False,Working,16.0,-9.0,72.0
11.3125,False,Working,16.0,-9.0,72.0
5.703125,False,Working,16.0,-9.0,72.0
10.96875,True,Working,18.0,-8.0,72.0
5.5625,True,Working,18.0,-8.0,72.0
10.921875,True,Working,18.0,-8.0,72.0
5.375,True,Working,18.0,-8.0,72.0
11.5625,True,Working,22.0,-6.0,72.0
5.78125,True,Working,22.0,-6.0,72.0
10.6875,True,Working,22.0,-6.0,72.0
5.59375,True,Working,22.0,-6.0,72.0
10.796875,True,Working,25.0,-4.0,67.0
5.625,True,Working,25.0,-4.0,67.0
10.828125,True,Working,25.0,-4.0,67.0
5.5,True,Working,25.0,-4.0,67.0
11.234375,True,Working,28.0,-2.0,67.0
5.875,True,Working,28.0,-2.0,67.0
11.109375,True,Working,28.0,-2.0,67.0
5.203125,True,Working,28.0,-2.0,67.0
11.125,True,Working,29.0,-1.0,62.0
5.515625,True,Working,29.0,-1.0,62.0
11.0,True,Working,29.0,-1.0,62.0
5.609375,True,Working,29.0,-1.0,62.0
10.84375,True,Working,31.0,-1.0,67.0
5.8125,True,Working,31.0,-1.0,67.0
11.125,True,Working,31.0,-1.0,67.0
5.6875,True,Working,31.0,-1.0,67.0
11.265625,True,Working,31.0,-1.0,67.0
5.9375,True,Working,31.0,-1.0,67.0
11.890625,True,Working,31.0,-1.0,67.0
5.96875,True,Working,31.0,-1.0,67.0
13.3125,True,Working,29.0,-2.0,67.0
7.265625,True,Working,29.0,-2.0,67.0
14.28125,True,Working,29.0,-2.0,67.0
7.421875,True,Working,29.0,-2.0,67.0
14.265625,True,Working,27.0,-3.0,72.0
6.953125,True,Working,27.0,-3.0,72.0
12.8125,True,Working,27.0,-3.0,72.0
6.578125,True,Working,27.0,-3.0,72.0
13.6875,True,Working,26.0,-4.0,67.0
6.84375,True,Working,26.0,-4.0,67.0
12.96875,True,Working,26.0,-4.0,67.0
6.609375,True,Working,26.0,-4.0,67.0
9.15625,False,Working,24.0,-4.0,72.0
3.4375,False,Working,24.0,-4.0,72.0
5.765625,False,Working,24.0,-4.0,72.0
3.09375,False,Working,24.0,-4.0,72.0
5.84375,False,Working,23.0,-5.0,66.0
3.0,False,Working,23.0,-5.0,66.0
5.90625,False,Working,23.0,-5.0,66.0
3.078125,False,Working,23.0,-5.0,66.0
5.78125,False,Working,22.0,-5.0,66.0
3.265625,False,Working,22.0,-5.0,66.0
5.875,False,Working,22.0,-5.0,66.0
2.875,False,Working,22.0,-5.0,66.0
5.921875,False,Working,22.0,-5.0,66.0
3.3125,False,Working,22.0,-5.0,66.0
6.0625,False,Working,22.0,-5.0,66.0
3.328125,False,Working,22.0,-5.0,66.0
6.046875,False,Working,22.0,-6.0,66.0
3.171875,False,Working,22.0,-6.0,66.0
6.015625,False,Working,22.0,-6.0,66.0
3.4375,False,Working,22.0,-6.0,66.0
5.78125,False,Working,21.0,-6.0,66.0
3.3125,False,Working,21.0,-6.0,66.0
6.171875,False,Working,21.0,-6.0,66.0
3.296875,False,Working,21.0,-6.0,66.0
5.859375,False,Working,20.0,-7.0,71.0
3.515625,False,Working,20.0,-7.0,71.0
6.125,False,Working,20.0,-7.0,71.0
3.1875,False,Working,20.0,-7.0,71.0
6.1875,False,Working,20.0,-7.0,71.0
3.375,False,Working,20.0,-7.0,71.0
