,usage_kwh,timestamp
347,6.234375,2022-01-04T14:45:00
348,11.25,2022-01-04T15:00:00
349,6.078125,2022-01-04T15:15:00
350,11.953125,2022-01-04T15:30:00
351,6.015625,2022-01-04T15:45:00
352,13.9375,2022-01-04T16:00:00
353,7.125,2022-01-04T16:15:00
354,13.4375,2022-01-04T16:30:00
355,7.3125,2022-01-04T16:45:00
356,13.546875,2022-01-04T17:00:00
357,6.765625,2022-01-04T17:15:00
358,13.484375,2022-01-04T17:30:00
359,7.0,2022-01-04T17:45:00
360,13.1875,2022-01-04T18:00:00
361,6.78125,2022-01-04T18:15:00
362,12.5625,2022-01-04T18:30:00
363,6.75,2022-01-04T18:45:00
364,8.21875,2022-01-04T19:00:00
365,3.3125,2022-01-04T19:15:00
366,5.4375,2022-01-04T19:30:00
367,3.140625,2022-01-04T19:45:00
368,5.90625,2022-01-04T20:00:00
369,3.28125,2022-01-04T20:15:00
370,5.796875,2022-01-04T20:30:00
371,3.015625,2022-01-04T20:45:00
372,5.453125,2022-01-04T21:00:00
373,3.34375,2022-01-04T21:15:00
374,5.65625,2022-01-04T21:30:00
375,3.21875,2022-01-04T21:45:00
376,5.765625,2022-01-04T22:00:00
377,3.046875,2022-01-04T22:15:00
378,5.6875,2022-01-04T22:30:00
379,3.15625,2022-01-04T22:45:00
380,5.71875,2022-01-04T23:00:00
381,2.953125,2022-01-04T23:15:00
382,5.78125,2022-01-04T23:30:00
383,2.921875,2022-01-04T23:45:00
384,5.609375,2022-01-05T00:00:00
385,3.328125,2022-01-05T00:15:00
386,5.59375,2022-01-05T00:30:00
387,3.15625,2022-01-05T00:45:00
388,5.703125,2022-01-05T01:00:00
389,3.09375,2022-01-05T01:15:00
390,5.703125,2022-01-05T01:30:00
391,3.265625,2022-01-05T01:45:00
392,6.015625,2022-01-05T02:00:00
393,2.765625,2022-01-05T02:15:00
394,5.90625,2022-01-05T02:30:00
395,3.125,2022-01-05T02:45:00
396,6.375,2022-01-05T03:00:00
397,3.46875,2022-01-05T03:15:00
398,6.25,2022-01-05T03:30:00
399,3.40625,2022-01-05T03:45:00
400,6.203125,2022-01-05T04:00:00
401,3.453125,2022-01-05T04:15:00
402,6.265625,2022-01-05T04:30:00
403,3.3125,2022-01-05T04:45:00
404,6.234375,2022-01-05T05:00:00
405,3.578125,2022-01-05T05:15:00
406,5.90625,2022-01-05T05:30:00
407,3.453125,2022-01-05T05:45:00
408,10.015625,2022-01-05T06:00:00
409,6.46875,2022-01-05T06:15:00
410,12.71875,2022-01-05T06:30:00
411,6.921875,2022-01-05T06:45:00
412,12.5,2022-01-05T07:00:00
413,6.84375,2022-01-05T07:15:00
414,12.984375,2022-01-05T07:30:00
415,6.328125,2022-01-05T07:45:00
416,11.828125,2022-01-05T08:00:00
417,6.328125,2022-01-05T08:15:00
418,12.28125,2022-01-05T08:30:00
419,6.3125,2022-01-05T08:45:00
420,11.75,2022-01-05T09:00:00
421,6.59375,2022-01-05T09:15:00
422,12.09375,2022-01-05T09:30:00
423,6.53125,2022-01-05T09:45:00
424,12.625,2022-01-05T10:00:00
425,6.546875,2022-01-05T10:15:00
426,12.0625,2022-01-05T10:30:00
427,6.078125,2022-01-05T10:45:00
428,11.84375,2022-01-05T11:00:00
429,5.671875,2022-01-05T11:15:00
430,11.46875,2022-01-05T11:30:00
431,5.53125,2022-01-05T11:45:00
432,11.109375,2022-01-05T12:00:00
433,6.296875,2022-01-05T12:15:00
434,11.59375,2022-01-05T12:30:00
435,6.046875,2022-01-05T12:45:00
